MovieID,WeightedRating,# of Ratings,Title,Genres
m1,4.116391018000841,2077,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']"
m10,3.506414087284958,888,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']"
m100,3.137601975167353,128,City Hall (1996),"['Drama', 'Thriller']"
m1000,3.2795698924731185,20,Curdled (1996),['Crime']
m1002,3.360205831903945,8,Ed's Next Move (1996),['Comedy']
m1003,3.054415425442449,121,Extreme Measures (1996),"['Drama', 'Thriller']"
m1004,2.931572705307336,101,"Glimmer Man, The (1996)","['Action', 'Thriller']"
m1005,2.5848336148762137,142,D3: The Mighty Ducks (1996),"[""Children's"", 'Comedy']"
m1006,3.1893203883495147,78,"Chamber, The (1996)",['Drama']
m1007,3.0282326062412923,232,"Apple Dumpling Gang, The (1975)","[""Children's"", 'Comedy', 'Western']"
m1008,3.392236192734946,97,"Davy Crockett, King of the Wild Frontier (1955)",['Western']
m1009,3.186297166235052,291,Escape to Witch Mountain (1975),"['Adventure', ""Children's"", 'Fantasy']"
m101,3.7687614399023794,253,Bottle Rocket (1996),['Comedy']
m1010,3.2435093422307535,242,"Love Bug, The (1969)","[""Children's"", 'Comedy']"
m1011,2.8678273467518376,135,Herbie Rides Again (1974),"['Adventure', ""Children's"", 'Comedy']"
m1012,3.640880581189781,301,Old Yeller (1957),"[""Children's"", 'Drama']"
m1013,3.5139999857490096,258,"Parent Trap, The (1961)","[""Children's"", 'Drama']"
m1014,3.3576588361659767,136,Pollyanna (1960),"[""Children's"", 'Comedy', 'Drama']"
m1015,3.29662248290665,234,Homeward Bound: The Incredible Journey (1993),"['Adventure', ""Children's""]"
m1016,3.1960742249248617,156,"Shaggy Dog, The (1959)","[""Children's"", 'Comedy']"
m1017,3.490393007464835,276,Swiss Family Robinson (1960),"['Adventure', ""Children's""]"
m1018,3.2524650918430233,123,That Darn Cat! (1965),"[""Children's"", 'Comedy', 'Mystery']"
m1019,3.6192188302922483,575,"20,000 Leagues Under the Sea (1954)","['Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']"
m102,2.4103896103896103,60,Mr. Wrong (1996),['Comedy']
m1020,3.235905970459746,392,Cool Runnings (1993),['Comedy']
m1021,2.835364091171713,247,Angels in the Outfield (1994),"[""Children's"", 'Comedy']"
m1022,3.7065422809414277,577,Cinderella (1950),"['Animation', ""Children's"", 'Musical']"
m1023,3.7904058589183682,221,Winnie the Pooh and the Blustery Day (1968),"['Animation', ""Children's""]"
m1024,3.3194482959488245,126,"Three Caballeros, The (1945)","['Animation', ""Children's"", 'Musical']"
m1025,3.543166974903568,293,"Sword in the Stone, The (1963)","['Animation', ""Children's""]"
