Genre,MovieID,Title,WeightedRating,AverageRating,# of Ratings
Action,6,Heat (1995),3.7927166709409206,3.8787234042553194,940
Action,9,Sudden Death (1995),2.929982329925533,2.656862745098039,102
Action,10,GoldenEye (1995),3.4921459282278318,3.5405405405405403,888
Action,15,Cutthroat Island (1995),2.7795440118493437,2.458904109589041,146
Action,20,Money Train (1995),2.807818081199376,2.5375,160
Action,21,Get Shorty (1995),3.583694987329974,3.6238938053097347,1356
Action,42,Dead Presidents (1995),2.971285219662886,2.8687782805429864,221
Action,44,Mortal Kombat (1995),2.8925308265973033,2.787781350482315,311
Action,70,From Dusk Till Dawn (1996),3.1558038184836747,3.1564551422319473,914
Action,71,Fair Game (1995),2.6983602307343313,2.1041666666666665,96
Action,89,Nick of Time (1995),3.1015097780930185,3.074235807860262,229
Action,95,Broken Arrow (1996),2.9215130513390335,2.876175548589342,638
Action,98,Shopping (1994),3.0987573577501637,2.0,6
Action,110,Braveheart (1995),4.1817967968949095,4.234957020057307,2443
Action,112,Rumble in the Bronx (1995),3.390856280492847,3.443859649122807,570
Action,139,Target (1995),3.157763552937178,4.0,1
Action,145,Bad Boys (1995),3.2582704328340606,3.2955801104972378,362
Action,153,Batman Forever (1995),2.713218129815085,2.642213642213642,777
Action,160,Congo (1995),2.4052618975731135,2.2389380530973453,565
Action,163,Desperado (1995),3.399453410244777,3.4574074074074073,540
Action,165,Die Hard: With a Vengeance (1995),3.5068727352502855,3.561212121212121,825
Action,168,First Knight (1995),3.002122891850454,2.9502762430939224,362
Action,170,Hackers (1995),3.1477314792461333,3.146417445482866,321
Action,172,Johnny Mnemonic (1995),2.700404060313393,2.576419213973799,458
Action,173,Judge Dredd (1995),2.462370972786988,2.3085106382978724,564
Action,181,Mighty Morphin Power Rangers: The Movie (1995),2.4978811471370848,1.6129032258064515,93
Action,198,Strange Days (1995),3.2709110413447626,3.2958677685950413,605
Action,204,Under Siege 2: Dark Territory (1995),3.009227876057816,2.9211822660098523,203
Action,208,Waterworld (1995),2.715619010583039,2.6313364055299537,651
Action,227,Drop Zone (1994),2.9099449851883197,2.6744186046511627,129
Action,251,"Hunted, The (1995)",3.166916466826539,3.2777777777777777,18
Action,260,Star Wars: Episode IV - A New Hope (1977),4.401038168502734,4.453694416583082,2991
Action,286,Nemesis 2: Nebula (1995),3.1498895371891464,3.0,1
Action,288,Natural Born Killers (1994),3.145321999059348,3.144285714285714,700
Action,292,Outbreak (1995),3.2514970561385583,3.2687585266030013,733
Action,303,"Quick and the Dead, The (1995)",3.0166102412187894,2.9760765550239237,418
Action,315,"Specialist, The (1994)",2.878265129831618,2.65359477124183,153
Action,316,Stargate (1994),3.4557455484887454,3.490143369175627,1116
Action,327,Tank Girl (1995),2.754206552113681,2.6145251396648046,358
Action,329,Star Trek: Generations (1994),3.3512867125654315,3.3767676767676766,990
Action,349,Clear and Present Danger (1994),3.6650092584160525,3.7261567516525025,1059
Action,353,"Crow, The (1994)",3.402367408398862,3.4455040871934606,734
Action,360,I Love Trouble (1994),2.8222765660988993,2.4960629921259843,127
Action,368,Maverick (1994),3.4730991069213593,3.5236907730673317,802
Action,376,"River Wild, The (1994)",3.2206638050903815,3.2457142857142856,350
Action,377,Speed (1994),3.536056290103053,3.5654545454545454,1650
Action,379,Timecop (1994),2.948462582247369,2.889908256880734,436
Action,380,True Lies (1994),3.5943879234751126,3.6342857142857143,1400
Action,384,Bad Company (1995),3.09057813989772,2.9,40
Action,387,"Low Down Dirty Shame, A (1994)",2.9694560141360595,2.7450980392156863,102
Action,390,Faster Pussycat! Kill! Kill! (1965),3.2758701147190354,3.542372881355932,59
Action,393,Street Fighter (1994),2.5629262823507424,1.8571428571428572,105
Action,394,Coldblooded (1995),3.21552757793765,3.6666666666666665,18
Action,401,Mirage (1995),3.148718525179856,3.0,2
Action,405,Highlander III: The Sorcerer (1994),2.5168266602523452,2.123152709359606,203
Action,420,Beverly Hills Cop III (1994),2.6758074711778694,2.5056818181818183,352
Action,423,Blown Away (1994),3.1240229718242696,3.1085972850678734,221
Action,434,Cliffhanger (1993),3.0948718857426374,3.0845481049562684,686
Action,438,"Cowboy Way, The (1994)",2.8634387454065524,2.625,152
Action,442,Demolition Man (1993),3.0183237222232657,2.9921875,640
Action,457,"Fugitive, The (1993)",4.046693055739285,4.103258145363409,1995
Action,459,"Getaway, The (1994)",2.981546361423872,2.832167832167832,143
Action,462,"Good Man in Africa, A (1994)",3.0586751378118286,2.642857142857143,28
Action,464,Hard Target (1993),2.9182338339854432,2.7824074074074074,216
Action,465,Heaven & Earth (1993),3.225263944688405,3.3142857142857145,105
Action,466,Hot Shots! Part Deux (1993),2.859851174854108,2.7958115183246073,573
Action,474,In the Line of Fire (1993),3.7477558936457394,3.825102880658436,972
Action,479,Judgment Night (1993),2.96925085414294,2.7969924812030076,133
Action,480,Jurassic Park (1993),3.7362530275993646,3.7638473053892216,2672
Action,485,Last Action Hero (1993),2.6374376537108972,2.508,500
